Bio,Location,Followers,Following,Public Repos,Company,Website,StackOverflow,Years of Experience,Organizations,Commit Descriptions,Files Changed,Total Insertions,Total Deletions,Total Lines Changed,Commit Count,Issue Titles,Issue Bodies,Issue Count,PR Titles,PR Bodies,PR Count,Repo,Bugs Solved,Features Implemented,Tasks Resolved,High Severity,Low or Moderate Severity,Repositories,Stars,Forks,Watchers,Years on GitHub,Activity Score,Activity Level,Contribution Type,Technical Focus,Final Cluster
"""Fullstack"" developer, whatever that means. Mostly React, Node, and Go.","Oslo, Norway",86,15,245,@folio-as ,,,0,NITH,55abfd7858de53d918c0963cc08d5db4b1f33e7a: Docs: fix a typo on the Configure Grafana page (oentelemetry -> opentelemetry) (#93021) | 85c26ea9086570046ab3b62d15a59208a980a2f4: Alerting: Fix a typo in alerting rule annotation docs (#55730) | 418cb9a8dae963db65d01dfd52a13edc24e89809: Docs: Remove comment about upcoming alerting for singlestat and table panels (#21416),"docs/sources/alerting/rules.md, docs/sources/setup-grafana/configure-grafana/_index.md, docs/sources/alerting/fundamentals/annotation-label/_index.md",3,6,9,3,,,0,Remove comment about upcoming alerting for singlestat and table panels | Alerting: Fix a typo in alerting rule annotation docs | Docs: fix a typo on the Configure Grafana page (oentelemetry -> opentelemetry),"This might help with the general tone of voice in https://github.com/grafana/grafana/issues/6983 | <!--
Thank you for sending a pull request! Here are some tips:
1. If this is your first time, please read our contribution guide at https://github.com/grafana/grafana/blob/main/CONTRIBUTING.md
2. Ensure you include and run the appropriate tests as part of your Pull Request.
3. In a new feature or configuration option, an update to the documentation is necessary. Everything related to the documentation is under the docs folder in the root of the repository.
4. If the Pull Request is a work in progress, make use of GitHub's ""Draft PR"" feature and mark it as such.
5. If you can not merge your Pull Request due to a merge conflict, Rebase it. This gets it in sync with the main branch.
6. Name your PR as ""<FeatureArea>: Describe your change"", e.g. Alerting: Prevent race condition. If it's a fix or feature relevant for the changelog describe the user impact in the title. The PR title is used to auto-generate the changelog for issues marked with the ""add to changelog"" label.
-->
**What this PR does / why we need it**:
It fixes what I think is a typo in the docs.
**Which issue(s) this PR fixes**:
No issue, I just encountered it while reading the docs.
<!--
- Automatically closes linked issue when the Pull Request is merged.
Usage: ""Fixes #<issue number>"", or ""Fixes (paste link of issue)""
-->
~Fixes #~
**Special notes for your reviewer**:
I think this makes sense, but I was reading the docs to learn, so I'm not an expert :sweat_smile: | :smile:",3,https://github.com/grafana/grafana,0,0,0,0,0,30,5,3,5,13,9,Moderate Activity,No Specific Tasks Recorded,Fullstack,Moderate Activity Fullstack Developers
Frontend Tech Lead at @WezomCompany,"Vinnytsya, Ukraine",29,11,97,@WezomCompany,,,0,"WezomAgency, microbe-ui, ff-validator, JS-Helpers, F-C-W, sui-org, WezomCompany, Wezom-Playground, TileCalculator",f7b9843b921cb1af830de8d75a8b81e3bed9f729: examples: Updates the `with-vitest` example for `server-only` usage (#58902),"examples/with-vitest/app/rsc/page.tsx, examples/with-vitest/app/rsc/page.test.tsx",9,4,13,1,,,0,Typescript option `enableDevErrorsCheck` | Updates the `with-vitest` example. Unlocks the tests passing with `server-only` usage,"Since NextJS,  by default, removed Typescript errors check in dev mode,
this PR add new Typescript option that allows you to enable error checking in development mode if needed
```js
// next.config.js
module.exports = {
  typescript: {
    enableDevErrorsCheck: true,
  },
}
``` | ### What?
Updates the `with-vitest` example by @leerob with suggesting how to pass tests with `server-only` package usage.
### Why?
Package usage was commented with description that Vitest not support `server-only`.  
But in fact, we can just mock it, like other common external lib and resolve this problem.
### How?
Two ways:
- mock `server-only` directly in the test file
- mock `server-only` in the Vitest setup file
---
",2,https://github.com/vercel/next.js,0,0,0,0,0,30,39,4,39,10,5,Moderate Activity,No Specific Tasks Recorded,Fullstack,Moderate Activity Fullstack Developers
